x	y	res
117	56	1
516	13	1
267	237	1
215	93	1
355	795	1
650	323	1
699	57	1
632	127	1
341	253	1
322	83	0
403	149	0
643	276	0
591	454	0
131	1045	0
632	131	0
604	144	0
686	43	0
511	1	0
375	1087	0
361	1077	0
664	962	0
693	973	0
643	1014	0
115	378	0
82	628	0
518	892	0
137	1022	0
907	949	0
287	491	0
339	455	0
302	409	0
696	17	0
199	431	0
584	130	0
1002	914	0
52	671	0
499	708	0
220	382	0
126	315	0
801	53	0
274	115	0
240	794	0
993	757	0
479	680	0
850	467	0
237	253	0
132	574	0
972	541	0
806	296	0
589	638	0
354	659	0
9	98	0
63	337	0
537	823	0
1041	916	0
79	380	0
955	101	0
65	563	0
215	300	0
500	663	0
792	1084	0
141	258	0
353	728	0
996	164	0
180	1014	0
1055	871	0
361	415	0
249	246	0
1062	984	0
521	456	0
215	9	0
685	614	0
405	1061	0
392	1090	0
953	79	0
969	666	0
1057	658	0
218	480	0
669	299	0
734	84	0
944	151	0
299	705	0
852	681	0
794	709	0
830	487	0
157	214	0
706	827	0
1017	220	0
519	798	0
534	161	0
698	173	0
285	703	0
485	0	0
843	299	0
1032	281	0
553	147	0
245	155	0
791	64	0
501	513	0
